ID;MONTO_FRAUDE;FECHA_INICIAL;FECHA_DETECCION;N_OPERACIONES;TIPO_PRODUCTO ;FLAG_CLIENTE_EMPRESA;N_FRAUDES_ANTERIORES
1;82982;01-01-2023;04-01-2023;1;TARJETA_CREDITO;0;0
2;819785;01-01-2023;03-01-2023;1;TARJETA_CREDITO;1;5
3;545622;01-01-2023;06-01-2023;3;TARJETA_DEBITO;1;5
4;96457;02-01-2023;05-01-2023;4;TARJETA_CREDITO;0;0
5;195487;02-01-2023;04-01-2023;5;TARJETA_CREDITO;0;0
6;199843;02-01-2023;07-01-2023;5;TARJETA_CREDITO;0;0
7;12487;02-01-2023;07-01-2023;3;TARJETA_CREDITO;0;0
8;161774;02-01-2023;03-01-2023;5;TARJETA_CREDITO;0;0
9;303296;02-01-2023;05-01-2023;3;TARJETA_CREDITO;0;8
10;80725;03-01-2023;05-01-2023;2;TARJETA_CREDITO;0;0
11;45526;03-01-2023;06-01-2023;1;TARJETA_CREDITO;0;0
12;119582;03-01-2023;09-01-2023;5;TARJETA_CREDITO;0;0
13;143045;03-01-2023;05-01-2023;1;TARJETA_DEBITO;0;0
14;66700;03-01-2023;05-01-2023;1;TARJETA_CREDITO;0;0
15;927127;03-01-2023;06-01-2023;5;TARJETA_CREDITO;0;4
16;4596407;03-01-2023;04-01-2023;53;TARJETA_CREDITO;1;2
17;140830;04-01-2023;06-01-2023;5;TARJETA_DEBITO;0;0
18;39228;04-01-2023;07-01-2023;2;TARJETA_CREDITO;0;0
19;10887;04-01-2023;06-01-2023;1;TARJETA_CREDITO;0;0
20;50577;04-01-2023;09-01-2023;5;TARJETA_CREDITO;0;0
21;117838;04-01-2023;05-01-2023;5;TARJETA_CREDITO;0;0
22;987328;04-01-2023;05-01-2023;2;TARJETA_CREDITO;0;10
23;586772;04-01-2023;08-01-2023;1;TARJETA_CREDITO;0;5
24;585584;04-01-2023;05-01-2023;8;TARJETA_DEBITO;0;5
25;8221756;04-01-2023;09-01-2023;80;TARJETA_CREDITO;1;2
26;47940;05-01-2023;08-01-2023;2;TARJETA_CREDITO;0;0
27;30360;05-01-2023;09-01-2023;3;TARJETA_CREDITO;0;0
28;82316;05-01-2023;11-01-2023;2;TARJETA_CREDITO;0;0
29;40634;05-01-2023;10-01-2023;3;TARJETA_CREDITO;0;0
30;189239;05-01-2023;07-01-2023;4;TARJETA_CREDITO;0;0
31;12084;05-01-2023;11-01-2023;3;TARJETA_CREDITO;0;0
32;85025;05-01-2023;09-01-2023;5;TARJETA_CREDITO;0;0
33;186240;05-01-2023;10-01-2023;3;TARJETA_DEBITO;0;0
34;140561;05-01-2023;06-01-2023;3;TARJETA_CREDITO;0;0
35;70174;05-01-2023;11-01-2023;5;TARJETA_CREDITO;0;0
36;89967;05-01-2023;06-01-2023;2;TARJETA_CREDITO;0;0
37;946915;05-01-2023;11-01-2023;9;TARJETA_CREDITO;0;6
38;199873;06-01-2023;12-01-2023;4;TARJETA_CREDITO;0;0
39;43554;06-01-2023;11-01-2023;5;TARJETA_CREDITO;0;0
40;98119;06-01-2023;10-01-2023;5;TARJETA_DEBITO;0;0
41;23593;06-01-2023;07-01-2023;3;TARJETA_CREDITO;0;0
42;145381;06-01-2023;11-01-2023;3;TARJETA_CREDITO;0;0
43;189150;06-01-2023;12-01-2023;4;TARJETA_CREDITO;0;0
44;168603;06-01-2023;11-01-2023;3;TARJETA_CREDITO;0;0
45;91126;06-01-2023;08-01-2023;3;TARJETA_CREDITO;0;0
46;133914;06-01-2023;07-01-2023;5;TARJETA_CREDITO;0;0
47;498403;06-01-2023;09-01-2023;6;TARJETA_CREDITO;0;3
48;160086;07-01-2023;10-01-2023;1;TARJETA_CREDITO;0;0
49;13535;07-01-2023;11-01-2023;1;TARJETA_CREDITO;0;0
50;111229;07-01-2023;10-01-2023;2;TARJETA_CREDITO;0;0
51;99350;07-01-2023;09-01-2023;4;TARJETA_CREDITO;0;0
52;19496;07-01-2023;10-01-2023;3;TARJETA_DEBITO;0;0
53;62247;07-01-2023;11-01-2023;5;TARJETA_CREDITO;0;0
54;880641;07-01-2023;12-01-2023;2;TARJETA_CREDITO;0;8
55;54227;08-01-2023;13-01-2023;3;TARJETA_CREDITO;0;0
56;42119;08-01-2023;11-01-2023;1;TARJETA_CREDITO;0;0
57;20337;08-01-2023;11-01-2023;2;TARJETA_CREDITO;0;0
58;574018;08-01-2023;09-01-2023;6;TARJETA_CREDITO;0;0
59;87956;08-01-2023;12-01-2023;3;TARJETA_CREDITO;1;4
60;3597315;08-01-2023;13-01-2023;72;TARJETA_CREDITO;1;9
